Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
SQLite for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/ZZZZZ/pubmed.sqlite,NCBI:PubMed:Text Mining:SQLite:ZZZZZ
SQLite for PMC,Correspondence table of PMID-PMCID,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/ZZZZZ/pmc.sqlite,NCBI:PMC:Text Mining:SQLite:ZZZZZ
SQLite for MeSH (Descriptor),Correspondence table of PMID-DescriptorID-DescriptorTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/ZZZZZ/descriptor.sqlite,NCBI:MeSH:Descriptor:Text Mining:SQLite:ZZZZZ
SQLite for MeSH (Qualifier),Correspondence table of PMID-QualifierID-QualifierTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/ZZZZZ/qualifier.sqlite,NCBI:MeSH:Qualifier:Text Mining:SQLite:ZZZZZ
SQLite for MeSH (SCR),Correspondence table of PMID-SCRID-SCRTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,SQLiteFile,FilePath,AHPubMedDbs/ZZZZZ/scr.sqlite,NCBI:MeSH:SCR:Supplementary Chemical Records:Text Mining:SQLite:ZZZZZ
tibble for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,RData,AHPubMedDbs/ZZZZZ/pubmed_tbl.RData,NCBI:PubMed:Text Mining:tibble:ZZZZZ
tibble for PMC,Correspondence table of PMID-PMCID,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,RData,AHPubMedDbs/ZZZZZ/pmc_tbl.RData,NCBI:PMC:Text Mining:tibble:ZZZZZ
tibble for MeSH (Descriptor),Correspondence table of PMID-DescriptorID-DescriptorTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,RData,AHPubMedDbs/ZZZZZ/descriptor_tbl.RData,NCBI:MeSH:Descriptor:Text Mining:tibble:ZZZZZ
tibble for MeSH (Qualifier),Correspondence table of PMID-QualifierID-QualifierTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,RData,AHPubMedDbs/ZZZZZ/qualifier_tbl.RData,NCBI:MeSH:Qualifier:Text Mining:tibble:ZZZZZ
tibble for MeSH (SCR),Correspondence table of PMID-SCRID-SCRTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,Tibble,RData,AHPubMedDbs/ZZZZZ/scr_tbl.RData,NCBI:MeSH:SCR:Supplementary Chemical Records:Text Mining:tibble:ZZZZZ
data.table for PubMed Abstract,Correspondence table of PMID-Journal-Year-Title-Abstract,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,RData,AHPubMedDbs/ZZZZZ/pubmed_dt.RData,NCBI:PubMed:Text Mining:data.table:ZZZZZ
data.table for PMC,Correspondence table of PMID-PMCID,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,RData,AHPubMedDbs/ZZZZZ/pmc_dt.RData,NCBI:PMC:Text Mining:data.table:ZZZZZ
data.table for MeSH (Descriptor),Correspondence table of PMID-DescriptorID-DescriptorTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,RData,AHPubMedDbs/ZZZZZ/descriptor_dt.RData,NCBI:MeSH:Descriptor:Text Mining:data.table:ZZZZZ
data.table for MeSH (Qualifier),Correspondence table of PMID-QualifierID-QualifierTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,RData,AHPubMedDbs/ZZZZZ/qualifier_dt.RData,NCBI:MeSH:Qualifier:Text Mining:data.table:ZZZZZ
data.table for MeSH (SCR),Correspondence table of PMID-SCRID-SCRTerm,XXXXX,NA,XML,SourceUrl,YYYYY,NA,NA,NA,NCBI,Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>,data.table,RData,AHPubMedDbs/ZZZZZ/scr_dt.RData,NCBI:MeSH:SCR:Supplementary Chemical Records:Text Mining:data.table:ZZZZZ
